"ID","Real_rates_Australia","Real_rates_Canada","Real_rates_Chile","Real_rates_Colombia","Real_rates_Denmark","Real_rates_Israel","Real_rates_Japan","Real_rates_Mexico","Real_rates_New_Zeland","Real_rates_Poland","Real_rates_South_Korea","Real_rates_Sweden","Real_rates_Turkey","Real_rates_United_Kingdom","Real_rates_United_States","Inflation_linked_real_rates_Germany","Inflation_linked_real_rates_CPI","Inflation_linked_France_real_rates_CPIEuro","Inflation_linked_real_rates_Italy","Inflation_linked_real_rates_Spain","Inflation_linked_real_rates_US_1y3y_Total_Return_Hedged_EUR","Inflation_linked_real_rates_US_Govt_0y5y_Total_Return_Index","Inflation_linked_real_rates_UK_1y3y_Total_Return_Hedged_EUR","Inflation_linked_real_rates_France_Govt_1y3y_Total_Return","Inflation_linked_real_rates_Italy_Govt_1y3y_Total_Return_Index","Schatz","Bobl","Bund","Buxl","OAT_10Y","BTP_2Y","BTP_10Y","US_2Y","US_5Y","US_10Y","US_20Y","US_30Y","Short_Gilt","Gilt_10Y","JPN_5Y","JPN_10Y","JPN_30Y","AU_3Y","AU_10Y","CAD_10Y","SEK_5Y","CAD_10Y_bond","AUD_10Y_bond","NZD_10Y_bond","NOK_10Y_bond","SEK_10Y_bond","DKK_10Y_bond","CHF_10Y_bond","EUR_2y10y","EUR_10y30y","US_2y10y","US_10y30y","GBP_2y10y","JPN_2y10y","US_EUR_10Y","UK_EUR_10Y","US_UK_10Y","US_EUR_2Y","USDEUR","GBPEUR","GBPUSD","USDJPY","CHFEUR","JPYEUR","CADEUR","AUDEUR","NZDEUR","NOKEUR","SEKEUR","DKKEUR"
"1/21/1900","2.1894820410162","-0.12671106269222","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.036171147895013","0","-0.11612529282908","-1.569178265751","-0.36230475253997","0","0","0.088105496117219","0.066044745314985","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0"
"1/22/1900","-2.0395323099533","4.1416658257962","0","0","0","0","0","0","0","0","0","0","0","0","0","0.48371169516962","0","0.92474645810409","4.4395890704616","2.2698335215038","0","3.9230141524803","0.54068279270727","0.26415717351828","0","0","0","0","0","0","0","0","0","0","-1.8925","0","0","0","-1.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0"
"1/23/1900","3.3411780956156","-0.50938021760274","0","0","0","0","0","0","0","0","0","0","0","0","0","0.015874406708436","0","-0.26468535505584","-1.8620688123202","-0.59636255609332","0","-4.3211851001583","-0.21844860167525","-0.19805248390824","0","0","0","0","0","0","0","0","0","0","-0.795","0","0","0","-0.68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0"
"1/24/1900","0.38247625857489","0.073223522443173","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.1112367259792","0","-0.60658368574643","-5.5848578336621","-1.7938626732235","0","1.0137768577901","-0.42192580187223","-0.46223689640946","0","0","0","0","0","0","0","0","0","0","-0.5875","0","0","0","0.24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0"
"1/25/1900","-3.401311788142","-5.1492785922542","0","0","0","0","0","0","0","0","0","0","0","0","0","0.016128928964832","0","0.13631814017063","2.8528606508539","0.20221919035051","0","5.1875005593169","-0.50130302117579","0.1321440370003","0","0","0","0","0","0","0","0","0","0","1.6675","0","0","0","0.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0"
"1/26/1900","2.5231508460675","0.2315738126338","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.05454580378724","0","-0.22844482328155","1.4927918720184","0.4205242685304","0","5.2430948847453","-0.027373375197425","-0.26424442609408","0","0","0","0","0","0","0","0","0","0","0.125","0","0","0","-0.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0"
"1/27/1900","1.6075909557388","-0.7923011879891","0","0","0","0","0","0","0","0","0","0","0","0","0","0.087656616632214","0","0.2814802075519","3.1758611615612","1.5745426495092","0","13.48805376727","0.39845819020898","0.13216586816452","0","0","0","0","0","0","0","0","0","0","1.3025","0","0","0","-0.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0"
"1/28/1900","0.55639842379871","2.8866592821752","0","0","0","0","0","0","0","0","0","0","0","0","0","0.10025906669432","0","0.13693319212741","1.0431175265353","-0.085217167968992","0","1.362070928776","1.075825752068","-0.066072018500199","0","0","0","0","0","0","0","0","0","0","-1.7675","0","0","0","-0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0"
"1/29/1900","4.8684325863265","1.5621073874938","0","0","0","0","0","0","0","0","0","0","0","0","0","0.16067970534511","0","0.28875758234856","-0.92125751453621","-0.27851929287467","0","4.7468373790796","-0.99753647906001","-0.066077475840363","0","0","0","0","0","0","0","0","0","0","-1.175","0","0","0","0.74","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0"
"1/30/1900","1.3422471308498","1.931556603068","0","0","0","0","0","0","0","0","0","0","0","0","0","0.16898557637735","0","0.36388620369401","3.3558008811464","1.4220934097742","0","-0.27411059899983","0.23700754400672","0.066082934082213","0","0","0","0","0","0","0","0","0","0","-0.215","0","0","0","-0.76","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0"
"1/31/1900","0.83399736615466","4.5340160169098","0","0","0","0","0","0","0","0","0","0","0","0","0","0.048767235543529","0","-0.24837257738518","-4.581509405366","-1.2831219800236","0","-9.8926882713824","0.14577633490857","-0.3303873792021","0","0","0","0","0","0","0","0","0","0","-2.5375","0","0","0","-1.32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0"
"2/1/1900","-0.066676385658981","-5.4818758150283","0","0","0","0","0","0","0","0","0","0","0","0","0","0.24246662962026","0","0.23593485198254","1.4115147845123","-0.15822908653669","0","2.9140803241056","-0.13662239089189","0.066104776070105","0","0","0","0","0","0","0","0","0","0","0.825","0","0","0","0.079999999999998","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0"
"2/2/1900","2.6254130398504","-2.1393055169885","0","0","0","0","0","0","0","0","0","0","0","0","0","0.062081359876196","0","0.21703982027984","2.4323898169879","0.94121698441611","0","3.2918975059859","-0.15184736721532","0.19829794265885","0","0","0","0","0","0","0","0","0","0","1.665","0","0","0","0.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0"
"2/3/1900","-0.25219142859388","2.7808194839431","0","0","0","0","0","0","0","0","0","0","0","0","0","0.03438843891987","0","0.37225321372115","3.5359918344581","2.4522062855545","0","5.4137791660158","0.8232821553671","0","0","0","0","0","0","0","0","0","0","0","-0.2525","0","0","0","-0.74","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0"
